date,lst_90_180,lst_0_180,lst_0_90,lst_30_130,lst_180_549
2021-07-01,-0.0448141124336687,-0.0472483282445002,-0.0492731397965222,-0.0435987871811232,0.0156990516066449
2021-08-01,-0.0158599780594476,-0.0182093371243733,-0.0202909965447926,-0.0203220758991309,0.0121981921852184
2021-09-01,-0.00100609789217439,-0.000273586908595083,0.000591549411124269,-0.00158747357979839,0.011831861166305
2021-10-01,0.0517349717030409,0.0484510223560255,0.0451305080054279,0.0493648444177441,0.0429439511983472
2021-11-01,0.0317648139866992,0.0283925972772995,0.0249779884245028,0.0230905445683837,0.021266121435009
2021-12-01,0.0662030466447622,0.0543846278530995,0.0425167553124297,0.0525870400802982,0.0509953833399152
2022-01-01,0.0410322703191492,0.0288893861942788,0.0168035201512021,0.0238178670356565,0.0447196560704051
2022-02-01,-0.0537751433619341,-0.0541781978518257,-0.0544081211396965,-0.0599057733801551,-0.0233555650243674
2022-03-01,-0.0494126295853809,-0.0464916593159072,-0.0434365006230374,-0.0521679474902003,-0.0159904193104036
2022-04-01,-0.0816936880353477,-0.0736165408196184,-0.0651988149089217,-0.0796619546661907,-0.0467256054104385
2022-05-01,-0.0780324315869679,-0.0708436837754814,-0.0633093874063909,-0.0762943706297495,-0.0272797493653336
2022-06-01,-0.0490339216876074,-0.0489235314680503,-0.0483748254446083,-0.056049991060568,0.0239976085752911
2022-07-01,-0.072723216972076,-0.0688830809155356,-0.0645589084627961,-0.0685424082486914,-0.0131039686584666
2022-08-01,-0.0257015599749123,-0.0258887466962838,-0.0257266981993814,-0.0229615762726245,0.00428071386104587
2022-09-01,0.0179151712470371,0.0242234620313535,0.0304904843477443,0.033111033173709,0.0216762869348181
2022-10-01,0.0279654697240657,0.0265343139925596,0.0251797966188691,0.0324929966568899,0.041300475805927
2022-11-01,0.0261931360561925,0.0223584286164418,0.0186495362245839,0.0205246626908673,0.0392020475093042
2022-12-01,0.120635898682869,0.102898639944248,0.0850333045579488,0.10368289783366,0.086412055697756
2023-01-01,0.0745858176243167,0.0585811080141291,0.0427311335883376,0.0516606105729452,0.0686596808400476
2023-02-01,-0.044038918865628,-0.035927740036508,-0.0277122902601535,-0.0377757490111315,-0.0288427254108503
2023-03-01,-0.00742504516602585,-0.00394145611040696,-0.000390840240280665,-0.0027087148087809,-0.00308089242278355
2023-04-01,-0.0469619843189483,-0.04624400530537,-0.045389190667097,-0.0542666727078671,-0.0176646605186077
2023-05-01,-0.047654077136495,-0.0564312948727355,-0.0649191821113501,-0.0644832779416931,0.00875895514997857
2023-06-01,-0.0857482604736277,-0.0839413470695141,-0.0817284721360466,-0.0873177345366258,-0.0154634526161583
2023-07-01,-0.0499780040943386,-0.0447546717376215,-0.0391222150954823,-0.0452366627888174,0.00509904825904982
2023-08-01,0.00415786267459043,0.0053320173652337,0.00681470141976891,0.0080502967144607,0.0502447065102501
2023-09-01,0.0253672276022782,0.0274765426219973,0.0296381229168756,0.0309272171538234,0.0357239674972044
2023-10-01,0.0609692152977313,0.0487526085290576,0.0366378037333187,0.0512582099165734,0.0510484294146222
2023-11-01,0.110251061114922,0.0982564445552432,0.0863890874512106,0.103670338105026,0.0736937034147046
2023-12-01,0.141283265500251,0.122138646179086,0.103189447909785,0.122223993338234,0.0991954336652002
2024-01-01,0.0434880835427021,0.0378813516902045,0.0325578849719917,0.0346435375515628,0.0224310477223306
2024-02-01,0.0105525550030241,0.0129221599095664,0.0153206626631214,0.0114794288583215,0.00178827438676599
2024-03-01,-0.0477804509146094,-0.0376456481652265,-0.0275922219402922,-0.0380156343909332,-0.0500333843803009
2024-04-01,-0.0970096524752682,-0.0905416312393705,-0.0837093246578768,-0.0970294495535798,-0.0487857352579143
2024-05-01,-0.123246199371271,-0.114158786935651,-0.104376805448184,-0.118986084422108,-0.055025614452986
2024-06-01,-0.0853404742037908,-0.0721785908958306,-0.0584965573333249,-0.0709959593930549,-0.0311328274624453
2024-07-01,-0.0287598880925938,-0.0312089513337169,-0.0332644197191844,-0.0290878421767853,0.0074444198735132
2024-08-01,-0.0159631304835682,-0.018994728545636,-0.0218445349831806,-0.0188161046276559,0.0126327253001838
2024-09-01,-0.0216805448048666,-0.0166240208383147,-0.0113297648071377,-0.0132926513268182,0.00462272264211251
2024-10-01,0.0407065512083822,0.037042406940283,0.0334454838445588,0.0411792179865276,0.0523043825846318
2024-11-01,0.0716036996476354,0.0648537353551368,0.0579493123079618,0.0669911458345657,0.0418810784799017
2024-12-01,0.0796168583339481,0.0620394132256589,0.0443952612687031,0.0566868399847787,0.0571431919741822
2025-01-01,-0.00364444336121522,-0.0149910403677779,-0.0261917225274482,-0.0210491808819252,0.0146128095738503
2025-02-01,0.00485353860907386,0.0181503423642495,0.0314288443692688,0.0169669972202043,0.0113462785782468
2025-03-01,0.0109123137246899,0.00856550191471554,0.00625481762389409,0.00549904066812444,0.0013007859517124
