"X1","X2"
"Hake.YOY","H01hake"
"Squid","H01squid"
"PreyIndex","H01index"
"Temp_precon.a","H02a"
"Temp_precon.b","H02b"
"SSBa","H04"
"Temp_spawn.1","H03"
"Temp_spawn.2","H05"
"MLDmn","H06mn"
"MLDsd","H06sd"
"Trans_XS_a","H07a"
"Trans_XS_b","H07b"
"Temp_eggs_a","H08a"
"Temp_eggs_b","H08b"
"Trans_XS_e.dev","H09"
"Trans_LS_e.dev","H10"
"Temp_ed","H11"
"Zoop.spring","H13"
"Trans_LS_larv.a","H14a"
"Trans_LS_larv.b","H14b"
"Trans_LS_larv.a","H15a"
"Trans_LS_larv.b","H15b"
"Trans_XS_larv.a","H16a"
"Trans_XS_larv.b","H16b"
"Temp_larv.a","H17a"
"Temp_larv.b","H17b"
"Zoop.fall","H18"
"Trans_LS_pjuv.a","H19a"
"Trans_LS_pjuv.b","H19b"
"Trans_XS_pjuv.a","H20a"
"Trans_XS_pjuv.b","H20b"
"Temp_pjuv.a","H21a"
"Temp_pjuv.b","H21b"
"Trans_LS_bjuv","H22"
"Trans_XS_bjuv","H23"
"Age0.250","H24b"
"Age2.250a","H25a"
"Age2.250b","H25b"
"River.pjuv","H27"
"Age0.400","H29b"
"Age2.400a","H30a"
"Age2.400b","H30b"
"Predators","H31"
"River.bjuv","H32"
